method,split,n,accuracy,macro_f1
gemini_direct,overall,240,0.7541666666666667,0.7417294431022237
gemini_direct,train,150,0.72,0.7028306178149036
gemini_direct,test,90,0.8111111111111111,0.8048858887817422
gemini_thor_sc3,overall,240,0.7875,0.7754043879550592
gemini_thor_sc3,train,150,0.82,0.8108565328077523
gemini_thor_sc3,test,90,0.7333333333333333,0.7161092875378591
qwen_direct,overall,240,0.7041666666666667,0.70344005293397
qwen_direct,train,150,0.6933333333333334,0.6927254819192346
qwen_direct,test,90,0.7222222222222222,0.7219030716298476
qwen_thor_sc3,overall,240,0.6541666666666667,0.644301024179073
qwen_thor_sc3,train,150,0.6733333333333333,0.6660518742079412
qwen_thor_sc3,test,90,0.6222222222222222,0.6064502303653702
qwen_controller,overall,240,0.7,0.6952411230886223
qwen_controller,train,150,0.7,0.6938899668526154
qwen_controller,test,90,0.7,0.6982558504297636
qwen_profile_selected,overall,240,0.7166666666666667,0.7148440097306196
qwen_profile_selected,train,150,0.7133333333333334,0.7107024419656316
qwen_profile_selected,test,90,0.7222222222222222,0.7219030716298476
